书籍编号	书籍名称	作者	年份	状态	借阅时间
B0059	《呼啸山庄》	艾米莉·勃朗特	1847	可借阅	无
B0060	《简·爱》	夏洛蒂·勃朗特	1847	可借阅	无
B0061	《悲惨世界》	雨果	1862	可借阅	无
B0062	《巴黎圣母院》	雨果	1831	可借阅	无
B0063	《红与黑》	司汤达	1830	可借阅	无
B0064	《茶花女》	小仲马	1848	可借阅	无
B0065	《基督山伯爵》	大仲马	1844	可借阅	无
B0066	《安娜·卡列尼娜》	托尔斯泰	1877	可借阅	无
B0067	《战争与和平》	托尔斯泰	1869	可借阅	无
B0068	《复活》	托尔斯泰	1899	可借阅	无
B0069	《罪与罚》	陀思妥耶夫斯基	1866	可借阅	无
B0070	《卡拉马佐夫兄弟》	陀思妥耶夫斯基	1880	可借阅	无
B0071	《童年》	高尔基	1913	可借阅	无
B0072	《钢铁是怎样炼成的》	奥斯特洛夫斯基	1932	可借阅	无
B0073	《变形记》	卡夫卡	1915	可借阅	无
B0074	《城堡》	卡夫卡	1926	可借阅	无
B0075	《小王子》	圣埃克苏佩里	1943	可借阅	无
B0076	《汤姆叔叔的小屋》	斯托夫人	1852	可借阅	无
B0077	《鲁滨逊漂流记》	笛福	1719	可借阅	无
B0078	《格列佛游记》	斯威夫特	1726	可借阅	无
B0079	《唐吉诃德》	塞万提斯	1605	可借阅	无
B0080	《神曲》	但丁	1320	可借阅	无
B0081	《红字》	霍桑	1850	可借阅	无
B0082	《月亮与六便士》	毛姆	1919	可借阅	无
B0083	《人性的枷锁》	毛姆	1915	可借阅	无
B0084	《麦田里的守望者》	塞林格	1951	可借阅	无
B0085	《杀死一只知更鸟》	哈珀·李	1960	可借阅	无
B0086	《瓦尔登湖》	梭罗	1854	可借阅	无
B0087	《新月集·飞鸟集》	泰戈尔	1913	可借阅	无
B0088	《雪国》	川端康成	1948	可借阅	无
B0089	《源氏物语》	紫式部	1008	可借阅	无
B0090	《时间简史》	史蒂芬·霍金	1988	可借阅	无
B0091	《物种起源》	达尔文	1859	可借阅	无
B0092	《自私的基因》	理查德·道金斯	1976	可借阅	无
B0093	《沉默的大多数》	王小波	1997	可借阅	无
B0094	《黄金时代》	王小波	1997	可借阅	无
B0095	《明朝那些事儿》	当年明月	2006	可借阅	无
B0096	《万历十五年》	黄仁宇	1981	可借阅	无
B0097	《中国历代政治得失》	钱穆	1952	可借阅	无
B0098	《乡土中国》	费孝通	1948	可借阅	无
B0099	《围炉夜话》	王永彬	1878	可借阅	无
B0100	《人间词话》	王国维	1908	可借阅	无
B0101	《重生之我是王乾宇》	梁振廷	2026	可借阅	无
